key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZA004_04183_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
漂流的終點的貓魅族少女看起來十分煩惱。"
1,"TEXT_AKTKZA004_04183_SEQ_01",""
2,"TEXT_AKTKZA004_04183_SEQ_02",""
3,"TEXT_AKTKZA004_04183_SEQ_03",""
4,"TEXT_AKTKZA004_04183_SEQ_04",""
5,"TEXT_AKTKZA004_04183_SEQ_05",""
6,"TEXT_AKTKZA004_04183_SEQ_06",""
7,"TEXT_AKTKZA004_04183_SEQ_07",""
8,"TEXT_AKTKZA004_04183_SEQ_08",""
9,"TEXT_AKTKZA004_04183_SEQ_09",""
10,"TEXT_AKTKZA004_04183_SEQ_10",""
11,"TEXT_AKTKZA004_04183_SEQ_11",""
12,"TEXT_AKTKZA004_04183_SEQ_12",""
13,"TEXT_AKTKZA004_04183_SEQ_13",""
14,"TEXT_AKTKZA004_04183_SEQ_14",""
15,"TEXT_AKTKZA004_04183_SEQ_15",""
16,"TEXT_AKTKZA004_04183_SEQ_16",""
17,"TEXT_AKTKZA004_04183_SEQ_17",""
18,"TEXT_AKTKZA004_04183_SEQ_18",""
19,"TEXT_AKTKZA004_04183_SEQ_19",""
20,"TEXT_AKTKZA004_04183_SEQ_20",""
21,"TEXT_AKTKZA004_04183_SEQ_21",""
22,"TEXT_AKTKZA004_04183_SEQ_22",""
23,"TEXT_AKTKZA004_04183_SEQ_23",""
24,"TEXT_AKTKZA004_04183_TODO_00","在城內尋找<Sheet(EventItem,2003113,0)/>"
25,"TEXT_AKTKZA004_04183_TODO_01","和貓魅族少女對話"
26,"TEXT_AKTKZA004_04183_TODO_02",""
27,"TEXT_AKTKZA004_04183_TODO_03",""
28,"TEXT_AKTKZA004_04183_TODO_04",""
29,"TEXT_AKTKZA004_04183_TODO_05",""
30,"TEXT_AKTKZA004_04183_TODO_06",""
31,"TEXT_AKTKZA004_04183_TODO_07",""
32,"TEXT_AKTKZA004_04183_TODO_08",""
33,"TEXT_AKTKZA004_04183_TODO_09",""
34,"TEXT_AKTKZA004_04183_TODO_10",""
35,"TEXT_AKTKZA004_04183_TODO_11",""
36,"TEXT_AKTKZA004_04183_TODO_12",""
37,"TEXT_AKTKZA004_04183_TODO_13",""
38,"TEXT_AKTKZA004_04183_TODO_14",""
39,"TEXT_AKTKZA004_04183_TODO_15",""
40,"TEXT_AKTKZA004_04183_TODO_16",""
41,"TEXT_AKTKZA004_04183_TODO_17",""
42,"TEXT_AKTKZA004_04183_TODO_18",""
43,"TEXT_AKTKZA004_04183_TODO_19",""
44,"TEXT_AKTKZA004_04183_TODO_20",""
45,"TEXT_AKTKZA004_04183_TODO_21",""
46,"TEXT_AKTKZA004_04183_TODO_22",""
47,"TEXT_AKTKZA004_04183_TODO_23",""
48,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_001","那……那個，<If(PlayerParameter(4))>姐姐<Else/>哥哥</If>！
我有事想拜託你……你願意聽我說說嗎？"
49,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_002","真的嗎？！
其、其實……是我的玩偶逃走了。"
50,"TEXT_AKTKZA004_04183_Q1_000_000","要說什麼？"
51,"TEXT_AKTKZA004_04183_A1_000_001","玩偶？"
52,"TEXT_AKTKZA004_04183_A1_000_002","逃走了？"
53,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_003","是的，我往裡面注入了乙太，然後它就跑了起來……
那可是我求著父母買給我的重要玩偶啊！"
54,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_004","要是我說我把玩偶弄丟了，他們肯定會很失望的……
所以求你了，幫我找找吧！"
55,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_005","太好了！
我會在房間裡找找，
看看那孩子有沒有回來……"
56,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_006","<If(PlayerParameter(4))>姐姐<Else/>哥哥</If>就沿著那孩子逃走的方向前往北方，
尋找黃色的卡邦庫爾玩偶吧！
結束之後就在這裡集合！"
57,"TEXT_AKTKZA004_04183_SYSTEM_000_007","找到了黃色的<Sheet(EventItem,2003113,0)/>。
似乎已經不再動彈了……
回到漂流的終點，交給貓魅族少女吧。"
58,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_008","那孩子果然沒回來。
是不是再也見不到它了……"
59,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_009","哇啊……你幫我找到了嗎？！
<If(PlayerParameter(4))>姐姐<Else/>哥哥</If>好厲害！
好像大姐姐！"
60,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_010","大姐姐之前就住在我家附近，
經常來找我玩！
又溫柔又體貼……是我憧憬的對象！"
61,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_011","大姐姐還跟我講了能製卡邦庫爾的
厲害的魔道士朋友的事……
所以我才讓父母給我買了這個玩偶……"
62,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_012","總有一天，我也要自如地讓卡邦庫爾動起來，
好讓大姐姐誇獎我！"
63,"TEXT_AKTKZA004_04183_TINYMIQOTE_000_013","<If(PlayerParameter(4))>姐姐<Else/>哥哥</If>，這個給你！
爸爸說過，得到了別人的幫助就要給對方謝禮。
謝謝你幫我找到了玩偶……再見！"
