key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZF005_04260_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
波洛伽護法村的敖龍族舞者正在為某件事情煩惱。"
1,"TEXT_AKTKZF005_04260_SEQ_01",""
2,"TEXT_AKTKZF005_04260_SEQ_02",""
3,"TEXT_AKTKZF005_04260_SEQ_03",""
4,"TEXT_AKTKZF005_04260_SEQ_04",""
5,"TEXT_AKTKZF005_04260_SEQ_05",""
6,"TEXT_AKTKZF005_04260_SEQ_06",""
7,"TEXT_AKTKZF005_04260_SEQ_07",""
8,"TEXT_AKTKZF005_04260_SEQ_08",""
9,"TEXT_AKTKZF005_04260_SEQ_09",""
10,"TEXT_AKTKZF005_04260_SEQ_10",""
11,"TEXT_AKTKZF005_04260_SEQ_11",""
12,"TEXT_AKTKZF005_04260_SEQ_12",""
13,"TEXT_AKTKZF005_04260_SEQ_13",""
14,"TEXT_AKTKZF005_04260_SEQ_14",""
15,"TEXT_AKTKZF005_04260_SEQ_15",""
16,"TEXT_AKTKZF005_04260_SEQ_16",""
17,"TEXT_AKTKZF005_04260_SEQ_17",""
18,"TEXT_AKTKZF005_04260_SEQ_18",""
19,"TEXT_AKTKZF005_04260_SEQ_19",""
20,"TEXT_AKTKZF005_04260_SEQ_20",""
21,"TEXT_AKTKZF005_04260_SEQ_21",""
22,"TEXT_AKTKZF005_04260_SEQ_22",""
23,"TEXT_AKTKZF005_04260_SEQ_23",""
24,"TEXT_AKTKZF005_04260_TODO_00","和敖龍族舞者對話"
25,"TEXT_AKTKZF005_04260_TODO_01","尋找<Sheet(EventItem,2003243,0)/>上記錄的東西"
26,"TEXT_AKTKZF005_04260_TODO_02","和敖龍族舞者對話"
27,"TEXT_AKTKZF005_04260_TODO_03","再次和敖龍族舞者對話"
28,"TEXT_AKTKZF005_04260_TODO_04",""
29,"TEXT_AKTKZF005_04260_TODO_05",""
30,"TEXT_AKTKZF005_04260_TODO_06",""
31,"TEXT_AKTKZF005_04260_TODO_07",""
32,"TEXT_AKTKZF005_04260_TODO_08",""
33,"TEXT_AKTKZF005_04260_TODO_09",""
34,"TEXT_AKTKZF005_04260_TODO_10",""
