key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMD101_04409_SEQ_00","巴爾德西昂分館的塔塔露一臉凝重。"
1,"TEXT_AKTKMD101_04409_SEQ_01","從塔塔露那裡收到了令人不安的消息。前往巴爾德西昂分館的正廳。"
2,"TEXT_AKTKMD101_04409_SEQ_02","聽聞拉札漢出現了緊急事態。與同伴們一同前往薩維奈島。"
3,"TEXT_AKTKMD101_04409_SEQ_03","薩維奈島出現了疑似末日災難的現象。和薩維奈島新港的阿希旺談談。"
4,"TEXT_AKTKMD101_04409_SEQ_04","聽阿希旺講解了作戰的詳情。乘船前往島的北側，打倒末日樹海萬相森國的偽神獸。

※透過和進入點附近的同伴對話並選擇「編成小隊」，或選擇設定選單裡的「劇情輔助器」，可以和非玩家同伴一同進入副本。
※和玩家一同進入時請透過任務搜尋器參加。"
5,"TEXT_AKTKMD101_04409_SEQ_05","打倒了偽神獸。確認周圍的狀況，返回拉札漢。"
6,"TEXT_AKTKMD101_04409_SEQ_06","空中的異形獸交由艾斯蒂尼安和弗里多拉討伐，前往拉札漢。和拉札漢阿爾扎達爾大街的阿希旺談談。"
7,"TEXT_AKTKMD101_04409_SEQ_07","阿希旺表示拉札漢城內的偽神獸暫時清理乾淨，但接下來會發生什麼很難說。為了在持續奮戰的弗里多拉他們，查明出現異常的原因。"
8,"TEXT_AKTKMD101_04409_SEQ_08",""
9,"TEXT_AKTKMD101_04409_SEQ_09",""
10,"TEXT_AKTKMD101_04409_SEQ_10",""
11,"TEXT_AKTKMD101_04409_SEQ_11",""
12,"TEXT_AKTKMD101_04409_SEQ_12",""
13,"TEXT_AKTKMD101_04409_SEQ_13",""
14,"TEXT_AKTKMD101_04409_SEQ_14",""
15,"TEXT_AKTKMD101_04409_SEQ_15",""
16,"TEXT_AKTKMD101_04409_SEQ_16",""
17,"TEXT_AKTKMD101_04409_SEQ_17",""
18,"TEXT_AKTKMD101_04409_SEQ_18",""
19,"TEXT_AKTKMD101_04409_SEQ_19",""
20,"TEXT_AKTKMD101_04409_SEQ_20",""
21,"TEXT_AKTKMD101_04409_SEQ_21",""
22,"TEXT_AKTKMD101_04409_SEQ_22",""
23,"TEXT_AKTKMD101_04409_SEQ_23",""
24,"TEXT_AKTKMD101_04409_TODO_00","前往正廳"
