key,0,1
#,,
int32,str,str
0,"TEXT_AKTKME114_04432_SEQ_00","轉移六洋院的維涅斯想要繼續調查。"
1,"TEXT_AKTKME114_04432_SEQ_01",""
2,"TEXT_AKTKME114_04432_SEQ_02",""
3,"TEXT_AKTKME114_04432_SEQ_03",""
4,"TEXT_AKTKME114_04432_SEQ_04",""
5,"TEXT_AKTKME114_04432_SEQ_05",""
6,"TEXT_AKTKME114_04432_SEQ_06",""
7,"TEXT_AKTKME114_04432_SEQ_07",""
8,"TEXT_AKTKME114_04432_SEQ_08",""
9,"TEXT_AKTKME114_04432_SEQ_09",""
10,"TEXT_AKTKME114_04432_SEQ_10",""
11,"TEXT_AKTKME114_04432_SEQ_11",""
12,"TEXT_AKTKME114_04432_SEQ_12",""
13,"TEXT_AKTKME114_04432_SEQ_13",""
14,"TEXT_AKTKME114_04432_SEQ_14",""
15,"TEXT_AKTKME114_04432_SEQ_15",""
16,"TEXT_AKTKME114_04432_SEQ_16",""
17,"TEXT_AKTKME114_04432_SEQ_17",""
18,"TEXT_AKTKME114_04432_SEQ_18",""
19,"TEXT_AKTKME114_04432_SEQ_19",""
20,"TEXT_AKTKME114_04432_SEQ_20",""
21,"TEXT_AKTKME114_04432_SEQ_21",""
22,"TEXT_AKTKME114_04432_SEQ_22",""
23,"TEXT_AKTKME114_04432_SEQ_23",""
24,"TEXT_AKTKME114_04432_TODO_00","尋找<Sheet(EObj,2012149,0)/>"
25,"TEXT_AKTKME114_04432_TODO_01","和維涅斯對話"
26,"TEXT_AKTKME114_04432_TODO_02","和維涅斯對話"
27,"TEXT_AKTKME114_04432_TODO_03","再次和維涅斯對話"
28,"TEXT_AKTKME114_04432_TODO_04",""
29,"TEXT_AKTKME114_04432_TODO_05",""
30,"TEXT_AKTKME114_04432_TODO_06",""
31,"TEXT_AKTKME114_04432_TODO_07",""
32,"TEXT_AKTKME114_04432_TODO_08",""
33,"TEXT_AKTKME114_04432_TODO_09",""
34,"TEXT_AKTKME114_04432_TODO_10",""
35,"TEXT_AKTKME114_04432_TODO_11",""
36,"TEXT_AKTKME114_04432_TODO_12",""
37,"TEXT_AKTKME114_04432_TODO_13",""
38,"TEXT_AKTKME114_04432_TODO_14",""
39,"TEXT_AKTKME114_04432_TODO_15",""
