key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZG101_04507_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
醒悟天測園的索克勒斯對冒險者很感興趣。"
1,"TEXT_AKTKZG101_04507_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

醒悟天測園的索克勒斯歡迎了冒險者的到來。他表示如果冒險者對觀察者的工作感興趣的話會有工作人員負責帶路，和醒悟天測園內的卡爾密恩談談。"
2,"TEXT_AKTKZG101_04507_SEQ_02","卡爾密恩願意帶路。做好準備之後，再次和醒悟天測園的卡爾密恩談談。"
3,"TEXT_AKTKZG101_04507_SEQ_03","決定要在天測園內四處逛逛。與卡爾密恩同行，和醒悟天測園內的工作人員們談談。

※同行狀態被解除時，再次與卡爾密恩對話便可進入同行狀態。"
4,"TEXT_AKTKZG101_04507_SEQ_04","工作人員們正在觀察植物、使魔和強大生物等各自負責的生物。最後和醒悟天測園內的索克勒斯園長談談。"
5,"TEXT_AKTKZG101_04507_SEQ_05","索克勒斯園長和新人觀察者卡爾密恩在介紹天測園的過程中對冒險者產生了興趣。他們接下來還想對冒險者進行進一步的了解，為了與厄爾庇斯的人們產生更多思想上的碰撞，繼續和他們加深交流吧。"
6,"TEXT_AKTKZG101_04507_SEQ_06",""
7,"TEXT_AKTKZG101_04507_SEQ_07",""
8,"TEXT_AKTKZG101_04507_SEQ_08",""
9,"TEXT_AKTKZG101_04507_SEQ_09",""
10,"TEXT_AKTKZG101_04507_SEQ_10",""
11,"TEXT_AKTKZG101_04507_SEQ_11",""
12,"TEXT_AKTKZG101_04507_SEQ_12",""
13,"TEXT_AKTKZG101_04507_SEQ_13",""
14,"TEXT_AKTKZG101_04507_SEQ_14",""
15,"TEXT_AKTKZG101_04507_SEQ_15",""
16,"TEXT_AKTKZG101_04507_SEQ_16",""
17,"TEXT_AKTKZG101_04507_SEQ_17",""
18,"TEXT_AKTKZG101_04507_SEQ_18",""
19,"TEXT_AKTKZG101_04507_SEQ_19",""
20,"TEXT_AKTKZG101_04507_SEQ_20",""
