key,0,1
#,,
int32,str,str
0,"TEXT_AKTKRA205_04639_SEQ_00","萬魔殿正門的拉哈布雷亞打算說明雅典娜的事情。"
1,"TEXT_AKTKRA205_04639_SEQ_01","從拉哈布雷亞那裡聽取了雅典娜對艾里克托尼奧斯的看法以及赫淮斯托斯的想法。前往絕地之獄最深處相連的實驗區域，打倒赫淮斯托斯。

※可以透過任務搜尋器參加。"
2,"TEXT_AKTKRA205_04639_SEQ_02","打倒了赫淮斯托斯。從萬魔殿正門來到了位於絕地之獄最深處的生命奧秘研究層。在生命奧秘研究層見證赫淮斯托斯的末路。"
3,"TEXT_AKTKRA205_04639_SEQ_03","艾里克托尼奧斯恢復了理智，並與拉哈布雷亞一起成功將赫淮斯托斯封印。和生命奧秘研究層的拉哈布雷亞談談。"
4,"TEXT_AKTKRA205_04639_SEQ_04","赫淮斯托斯被封入了水晶中。看到艾里克托尼奧斯能夠獨自發動牢籠魔法，拉哈布雷亞十分欣慰。"
5,"TEXT_AKTKRA205_04639_SEQ_05",""
6,"TEXT_AKTKRA205_04639_SEQ_06",""
7,"TEXT_AKTKRA205_04639_SEQ_07",""
8,"TEXT_AKTKRA205_04639_SEQ_08",""
9,"TEXT_AKTKRA205_04639_SEQ_09",""
10,"TEXT_AKTKRA205_04639_SEQ_10",""
11,"TEXT_AKTKRA205_04639_SEQ_11",""
12,"TEXT_AKTKRA205_04639_SEQ_12",""
13,"TEXT_AKTKRA205_04639_SEQ_13",""
14,"TEXT_AKTKRA205_04639_SEQ_14",""
15,"TEXT_AKTKRA205_04639_SEQ_15",""
16,"TEXT_AKTKRA205_04639_SEQ_16",""
17,"TEXT_AKTKRA205_04639_SEQ_17",""
18,"TEXT_AKTKRA205_04639_SEQ_18",""
19,"TEXT_AKTKRA205_04639_SEQ_19",""
20,"TEXT_AKTKRA205_04639_SEQ_20",""
21,"TEXT_AKTKRA205_04639_SEQ_21",""
22,"TEXT_AKTKRA205_04639_SEQ_22",""
23,"TEXT_AKTKRA205_04639_SEQ_23",""
24,"TEXT_AKTKRA205_04639_TODO_00","突破萬魔殿煉淨之獄4"
25,"TEXT_AKTKRA205_04639_TODO_01","突破萬魔殿煉淨之獄4"
26,"TEXT_AKTKRA205_04639_TODO_02","和拉哈布雷亞對話"
