key,0,1
#,,
int32,str,str
0,"TEXT_AKTKUA204_04793_SEQ_00","開拓據點的聯絡小員這次也有事想要告訴冒險者。"
1,"TEXT_AKTKUA204_04793_SEQ_01","和聯絡小員進行了交談。前往無人島西南方向的海灘，在<Sheet(EObj,2013540,0)/>等待塔塔露。"
2,"TEXT_AKTKUA204_04793_SEQ_02","和塔塔露等人會合了。和無人島小島木屋附近的韋爾夫森談談。"
3,"TEXT_AKTKUA204_04793_SEQ_03","布丁威也加入了眾人之後，冒險者一行決訂製作布丁。和無人島小島木屋附近的布魯威達談談。"
4,"TEXT_AKTKUA204_04793_SEQ_04","詢問了布魯威達有關製作的分工。和開拓據點山坡上的整理小員談談。"
5,"TEXT_AKTKUA204_04793_SEQ_05","和整理小員進行了交談。拿起整理小員附近的<Sheet(EObj,2013542,0)/>。"
6,"TEXT_AKTKUA204_04793_SEQ_06","拿起了<Sheet(EObj,2013542,0)/>。將<Sheet(EObj,2013542,0)/>運送至西南方向的海灘放下。

※搬運狀態只能維持一段時間。"
7,"TEXT_AKTKUA204_04793_SEQ_07","將木箱送達了海灘。再次和開拓據點山坡上的整理小員談談。"
8,"TEXT_AKTKUA204_04793_SEQ_08","和整理小員進行了交談。拿起整理小員附近的第二個<Sheet(EObj,2013546,0)/>。"
9,"TEXT_AKTKUA204_04793_SEQ_09","拿起了<Sheet(EObj,2013546,0)/>。將<Sheet(EObj,2013546,0)/>運送至西南方向的海灘放下。

※搬運狀態只能維持一段時間。"
10,"TEXT_AKTKUA204_04793_SEQ_10","將2個木箱都送達了海灘。在西南方向的海灘上的<Sheet(EObj,2013549,0)/>等待。"
11,"TEXT_AKTKUA204_04793_SEQ_11","在眾人的同心協力之下，終於完成了開心紀念慶典布丁。和西南方向的海灘的布魯威達談談。"
12,"TEXT_AKTKUA204_04793_SEQ_12","韋爾夫森和布魯威達夫婦在小島上度過了一段愉快的時光。布丁威回程時也十分幸福。無人島開拓也取得了相應的成就，之後塔塔露還會邀請最後一組客人拜訪這座小島。在塔塔露再次聯絡你之前，請自由享受小島吧。"
13,"TEXT_AKTKUA204_04793_SEQ_13",""
14,"TEXT_AKTKUA204_04793_SEQ_14",""
15,"TEXT_AKTKUA204_04793_SEQ_15",""
16,"TEXT_AKTKUA204_04793_SEQ_16",""
