key,0,1
#,,
int32,str,str
0,"TEXT_AKTKVA301_04789_SEQ_00","列柱廊的莎蘿·摩爾有事想委託冒險者。"
1,"TEXT_AKTKVA301_04789_SEQ_01","和莎蘿·摩爾進行了交談。和薩維奈島代米爾遺烈鄉的帕薩松談談。"
2,"TEXT_AKTKVA301_04789_SEQ_02","和帕薩松等人進行了交談。冒險者決定和摩提夏一同前往阿羅阿羅島。再次和薩維奈島新港的帕薩松談談。"
3,"TEXT_AKTKVA301_04789_SEQ_03","和帕薩松進行了交談。突破阿羅阿羅島。

※多變迷宮需透過專用窗口申請參加。
※可以透過與新港的船頭對話，或選擇設定選單「任務情報」中的「特殊迷宮探索器」查看專用窗口。"
4,"TEXT_AKTKVA301_04789_SEQ_04","突破了阿羅阿羅島。和新港的帕薩松談談。"
5,"TEXT_AKTKVA301_04789_SEQ_05","和帕薩松等人進行了交談。和舊薩雷安列柱廊的莎蘿·摩爾談談。"
6,"TEXT_AKTKVA301_04789_SEQ_06","和莎蘿·摩爾進行了交談。阿羅阿羅島上似乎還有可以釣到藥效豐富的魚的地方。為了滿足摩提夏的願望，幫助他釣到魚贈送給尼答娜當禮物，以後可以和他一起來到島上探索。"
7,"TEXT_AKTKVA301_04789_SEQ_07",""
8,"TEXT_AKTKVA301_04789_SEQ_08",""
9,"TEXT_AKTKVA301_04789_SEQ_09",""
10,"TEXT_AKTKVA301_04789_SEQ_10",""
11,"TEXT_AKTKVA301_04789_SEQ_11",""
12,"TEXT_AKTKVA301_04789_SEQ_12",""
13,"TEXT_AKTKVA301_04789_SEQ_13",""
14,"TEXT_AKTKVA301_04789_SEQ_14",""
15,"TEXT_AKTKVA301_04789_SEQ_15",""
16,"TEXT_AKTKVA301_04789_SEQ_16",""
17,"TEXT_AKTKVA301_04789_SEQ_17",""
18,"TEXT_AKTKVA301_04789_SEQ_18",""
19,"TEXT_AKTKVA301_04789_SEQ_19",""
20,"TEXT_AKTKVA301_04789_SEQ_20",""
21,"TEXT_AKTKVA301_04789_SEQ_21",""
22,"TEXT_AKTKVA301_04789_SEQ_22",""
23,"TEXT_AKTKVA301_04789_SEQ_23",""
24,"TEXT_AKTKVA301_04789_TODO_00","和代米爾遺烈鄉的帕薩松對話"
