key,0,1
#,,
int32,str,str
0,"TEXT_FESSXT103_04798_SEQ_00","※本任務是特定期間內的任務。

豐饒神祭壇的克萊夫有些困惑。"
1,"TEXT_FESSXT103_04798_SEQ_01","※本任務只有在季節活動開放期間才能承接和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參閱官方網站。

已和克萊夫交談。雖然異國的詩人的話讓克萊夫感到十分困惑，但他還是選擇了聽從異國的詩人的建議。和格里達尼亞碧企鵝瀑布的克萊夫交談。"
2,"TEXT_FESSXT103_04798_SEQ_02","在異國的詩人用詩歌之力創造的環境中，克萊夫戰勝了自己體內的伊弗利特的力量。和克萊夫一起返回格里達尼亞舊街。"
3,"TEXT_FESSXT103_04798_SEQ_03","克萊夫與自己體內的伊弗利特之力對峙，並戰勝了伊弗利特之力，成功恢復記憶。另外，他的愛狼托加爾的幻影也來到了他的身邊，據異國的詩人所說，這個托加爾的幻影會是帶領克萊夫重返原本世界的引導者。前往東薩納蘭火牆，和異國的詩人交談。"
4,"TEXT_FESSXT103_04798_SEQ_04","據異國的詩人所說，接下來的道路需要托加爾指引。和火牆的克萊夫交談。"
5,"TEXT_FESSXT103_04798_SEQ_05","帶著克萊夫和異國的詩人，在托加爾的引導下一起前往火牆深處。帶著克萊夫到火牆深處交談。

※同行或帶路狀態被解除時，再次與克萊夫、托加爾、異國的詩人中任意一人對話便可以重新開始。"
6,"TEXT_FESSXT103_04798_SEQ_06","和克萊夫等人一起到達了火牆深處。克萊夫在托加爾的指引下返回了伐利斯傑亞。和火牆的異國的詩人交談。"
7,"TEXT_FESSXT103_04798_SEQ_07","克萊夫成功返回了伐利斯傑亞，與他的短暫旅程也迎來了終點。異國的詩人依照著克萊夫的引導者托加爾的形象，創造了能陪伴冒險者旅行的生物。克萊夫今後也會在遙遠的另一個世界，繼續對抗擋在前方的苦難吧。"
8,"TEXT_FESSXT103_04798_SEQ_08",""
9,"TEXT_FESSXT103_04798_SEQ_09",""
10,"TEXT_FESSXT103_04798_SEQ_10",""
11,"TEXT_FESSXT103_04798_SEQ_11",""
12,"TEXT_FESSXT103_04798_SEQ_12",""
13,"TEXT_FESSXT103_04798_SEQ_13",""
14,"TEXT_FESSXT103_04798_SEQ_14",""
15,"TEXT_FESSXT103_04798_SEQ_15",""
