key,0,1
#,,
int32,str,str
0,"TEXT_SUBWIL902_04780_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
黑渦軍司令部附近的納納恩吉希望能繼續傳記採訪。"
1,"TEXT_SUBWIL902_04780_SEQ_01","※本任務為<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 等級調整任務。

和納納恩吉進行了交談，從巴德龍那裡打聽到了情報。和拉諾西亞低地莫拉比造船廠的納納恩吉談談。"
2,"TEXT_SUBWIL902_04780_SEQ_02","和納納恩吉進行了交談，開始收集歐恩·古因卡姆的情報。向莫拉比造船廠的人們打聽情報。"
3,"TEXT_SUBWIL902_04780_SEQ_03","根據收集到的情報，獲得了尋找歐恩·古因卡姆的線索。和莫拉比造船廠的納納恩吉談談。"
4,"TEXT_SUBWIL902_04780_SEQ_04","和納納恩吉進行了交談。在莫拉比造船廠東南方的<Sheet(EObj,2013397,0)/>張望。"
5,"TEXT_SUBWIL902_04780_SEQ_05","和歐恩·古因卡姆見面，並進行了交談。和莫拉比造船廠東南方的納納恩吉談談。"
6,"TEXT_SUBWIL902_04780_SEQ_06","和納納恩吉進行了交談，並和歐恩·古因卡姆告別。和烏爾達哈不滅隊作戰總部前的納納恩吉談談。"
7,"TEXT_SUBWIL902_04780_SEQ_07","和納納恩吉進行了交談。他的採訪之旅圓滿完成，在不久的將來，由他執筆的路易索瓦傳記將會面世。"
8,"TEXT_SUBWIL902_04780_SEQ_08",""
9,"TEXT_SUBWIL902_04780_SEQ_09",""
10,"TEXT_SUBWIL902_04780_SEQ_10",""
11,"TEXT_SUBWIL902_04780_SEQ_11",""
12,"TEXT_SUBWIL902_04780_SEQ_12",""
13,"TEXT_SUBWIL902_04780_SEQ_13",""
14,"TEXT_SUBWIL902_04780_SEQ_14",""
15,"TEXT_SUBWIL902_04780_SEQ_15",""
16,"TEXT_SUBWIL902_04780_SEQ_16",""
17,"TEXT_SUBWIL902_04780_SEQ_17",""
18,"TEXT_SUBWIL902_04780_SEQ_18",""
19,"TEXT_SUBWIL902_04780_SEQ_19",""
20,"TEXT_SUBWIL902_04780_SEQ_20",""
