key,0,1
#,,
int32,str,str
0,"TEXT_KINGBA311_04831_SEQ_00","赤誠組營房附近的伊陶喀正在準備進行下一次行動。"
1,"TEXT_KINGBA311_04831_SEQ_01","和伊陶喀進行了交談。偷走祭器的犯人似乎離開了黃金港。冒險者一行決定去別的地方尋找犯人引發紛爭的線索。在紅玉海的紅玉砲台收集情報。"
2,"TEXT_KINGBA311_04831_SEQ_02","和斑鳩進行了交談。近期海盜眾經常駕駛小船靠近紅玉砲台，雙方之間的戰爭一觸即發。從紅玉海酒杯島的海盜眾那裡收集情報。"
3,"TEXT_KINGBA311_04831_SEQ_03","收集了情報。冒險者一行得知海盜眾從未入侵過紅玉砲台，反而紅玉砲台的守衛曾入侵了海盜眾控制的海域。和酒杯島的伊陶喀談談。"
4,"TEXT_KINGBA311_04831_SEQ_04","和伊陶喀進行了交談。談話過程中冒險者一行從一位中年海盜眾處得知，海盜眾的首領正在召集同伴準備攻佔紅玉砲台。和紅玉海龜甲島附近的伊陶喀談談。"
5,"TEXT_KINGBA311_04831_SEQ_05","和伊陶喀進行了交談。冒險者一行找到了海盜眾首領等人。海盜眾首領羅生果然是偷走祭器的犯人假扮的。犯人自稱自己的目的是使人類暴露出自己的本性。伊陶喀開弓阻攔犯人，但再次沒能命中目標，犯人趁機逃之夭夭。海盜眾表示今後會強化紅玉海的警備。返回赤誠組營房附近，和伊陶喀談談。"
6,"TEXT_KINGBA311_04831_SEQ_06","和伊陶喀進行了交談。她對偷走祭器的犯人的目的十分憤怒。等伊陶喀取得新情報之後再來拜訪她。

※任意近戰職業的等級達到94級以上時，可以從赤誠組營房附近的伊陶喀那裡領取下一個近戰職能任務。"
7,"TEXT_KINGBA311_04831_SEQ_07",""
8,"TEXT_KINGBA311_04831_SEQ_08",""
9,"TEXT_KINGBA311_04831_SEQ_09",""
10,"TEXT_KINGBA311_04831_SEQ_10",""
11,"TEXT_KINGBA311_04831_SEQ_11",""
12,"TEXT_KINGBA311_04831_SEQ_12",""
13,"TEXT_KINGBA311_04831_SEQ_13",""
14,"TEXT_KINGBA311_04831_SEQ_14",""
15,"TEXT_KINGBA311_04831_SEQ_15",""
16,"TEXT_KINGBA311_04831_SEQ_16",""
17,"TEXT_KINGBA311_04831_SEQ_17",""
