key,0,1
#,,
int32,str,str
0,"TEXT_KINGBB102_04849_SEQ_00","裁縫師行會附近的克蘇夸在檢查冒險者的裝備。"
1,"TEXT_KINGBB102_04849_SEQ_01","開始尋找適合初次實戰的獵物。在烏爾達哈的流沙屋附近收集情報。"
2,"TEXT_KINGBB102_04849_SEQ_02","擅於打聽的冒險者收集到了魔物的情報。和流沙屋附近的克蘇夸談談。"
3,"TEXT_KINGBB102_04849_SEQ_03","前往發現魔物的地點。和中薩納蘭無刺盆地的克蘇夸談談。"
4,"TEXT_KINGBB102_04849_SEQ_04","從克蘇夸那裡聽取了毒蛇劍士的心得。再次和無刺盆地的克蘇夸談談，出發前去討伐魔物。"
5,"TEXT_KINGBB102_04849_SEQ_05","討伐了出現的魔物。回到中薩納蘭。"
6,"TEXT_KINGBB102_04849_SEQ_06","克蘇夸追蹤的是一隻長著翅膀的圖拉爾威爪，名為伊可·索可·休瑪玖恩。為了重新收集情報，和烏爾達哈白金幻象附近的克蘇夸談談。

※同行狀態被解除時，再次與克蘇夸對話便可進入同行狀態。"
7,"TEXT_KINGBB102_04849_SEQ_07","帶著克蘇夸開始收集情報。在白金幻象附近尋找能提供情報的對象。"
8,"TEXT_KINGBB102_04849_SEQ_08","最近似乎多了許多見到罕見特徵的魔物的報告。在烏爾達哈的角鬥士武器百貨附近尋找能提供情報的對象。"
9,"TEXT_KINGBB102_04849_SEQ_09","目前似乎並沒有伊可·索可·休瑪玖恩的目擊或受害報告。克蘇夸決定獨自練習收集情報。和角鬥士武器百貨附近的克蘇夸談談。"
10,"TEXT_KINGBB102_04849_SEQ_10","和克蘇夸進行了交談。繼續磨練毒蛇劍士的技巧，等待克蘇夸收集情報的結果。

※毒蛇劍士的等級達到83級以上時，可以從角鬥士武器百貨附近的克蘇夸那裡領取下一個毒蛇劍士任務。"
11,"TEXT_KINGBB102_04849_SEQ_11",""
12,"TEXT_KINGBB102_04849_SEQ_12",""
13,"TEXT_KINGBB102_04849_SEQ_13",""
14,"TEXT_KINGBB102_04849_SEQ_14",""
15,"TEXT_KINGBB102_04849_SEQ_15",""
16,"TEXT_KINGBB102_04849_SEQ_16",""
17,"TEXT_KINGBB102_04849_SEQ_17",""
18,"TEXT_KINGBB102_04849_SEQ_18",""
