key,0,1
#,,
int32,str,str
0,"TEXT_KINGMA106_04865_SEQ_00","貝殼亭附近的哈努族協助者正在等待冒險者的提問。"
1,"TEXT_KINGMA106_04865_SEQ_01","哈努族的村落遭到暴風雨的侵襲後損失嚴重，現在無法舉辦傳統祭典。和圖萊尤拉古魯加加凱旋門的烏克·拉瑪特談談。"
2,"TEXT_KINGMA106_04865_SEQ_02","和烏克·拉瑪特進行了交談。從古魯加加凱旋門離開圖萊尤拉，前往克扎瑪烏卡濕地。"
3,"TEXT_KINGMA106_04865_SEQ_03","冒險者決定前往克扎瑪烏卡濕地的哈努族村落——哈努聚落。和克扎瑪烏卡濕地孵卵樹群的可露兒談談。"
4,"TEXT_KINGMA106_04865_SEQ_04","和可露兒進行了交談。和克扎瑪烏卡濕地哈努聚落前的艾倫維爾談談。"
5,"TEXT_KINGMA106_04865_SEQ_05","和艾倫維爾進行了交談，抵達了哈努聚落。"
6,"TEXT_KINGMA106_04865_SEQ_06",""
7,"TEXT_KINGMA106_04865_SEQ_07",""
8,"TEXT_KINGMA106_04865_SEQ_08",""
9,"TEXT_KINGMA106_04865_SEQ_09",""
10,"TEXT_KINGMA106_04865_SEQ_10",""
11,"TEXT_KINGMA106_04865_SEQ_11",""
12,"TEXT_KINGMA106_04865_SEQ_12",""
13,"TEXT_KINGMA106_04865_SEQ_13",""
14,"TEXT_KINGMA106_04865_SEQ_14",""
15,"TEXT_KINGMA106_04865_SEQ_15",""
16,"TEXT_KINGMA106_04865_SEQ_16",""
17,"TEXT_KINGMA106_04865_SEQ_17",""
18,"TEXT_KINGMA106_04865_SEQ_18",""
19,"TEXT_KINGMA106_04865_SEQ_19",""
20,"TEXT_KINGMA106_04865_SEQ_20",""
21,"TEXT_KINGMA106_04865_SEQ_21",""
22,"TEXT_KINGMA106_04865_SEQ_22",""
23,"TEXT_KINGMA106_04865_SEQ_23",""
24,"TEXT_KINGMA106_04865_TODO_00","和烏克·拉瑪特對話"
25,"TEXT_KINGMA106_04865_TODO_01","和烏克·拉瑪特對話"
26,"TEXT_KINGMA106_04865_TODO_02","和可露兒對話"
27,"TEXT_KINGMA106_04865_TODO_03","和艾倫維爾對話"
28,"TEXT_KINGMA106_04865_TODO_04",""
29,"TEXT_KINGMA106_04865_TODO_05",""
