key,0,1
#,,
int32,str,str
0,"TEXT_KINGMB105_04884_SEQ_00","沃洛克聯王宮的烏克·拉瑪特想和大家會合。"
1,"TEXT_KINGMB105_04884_SEQ_01",""
2,"TEXT_KINGMB105_04884_SEQ_02",""
3,"TEXT_KINGMB105_04884_SEQ_03",""
4,"TEXT_KINGMB105_04884_SEQ_04",""
5,"TEXT_KINGMB105_04884_SEQ_05",""
6,"TEXT_KINGMB105_04884_SEQ_06",""
7,"TEXT_KINGMB105_04884_SEQ_07",""
8,"TEXT_KINGMB105_04884_SEQ_08",""
9,"TEXT_KINGMB105_04884_SEQ_09",""
10,"TEXT_KINGMB105_04884_SEQ_10",""
11,"TEXT_KINGMB105_04884_SEQ_11",""
12,"TEXT_KINGMB105_04884_SEQ_12",""
13,"TEXT_KINGMB105_04884_SEQ_13",""
14,"TEXT_KINGMB105_04884_SEQ_14",""
15,"TEXT_KINGMB105_04884_SEQ_15",""
16,"TEXT_KINGMB105_04884_SEQ_16",""
17,"TEXT_KINGMB105_04884_SEQ_17",""
18,"TEXT_KINGMB105_04884_SEQ_18",""
19,"TEXT_KINGMB105_04884_SEQ_19",""
20,"TEXT_KINGMB105_04884_SEQ_20",""
21,"TEXT_KINGMB105_04884_SEQ_21",""
22,"TEXT_KINGMB105_04884_SEQ_22",""
23,"TEXT_KINGMB105_04884_SEQ_23",""
24,"TEXT_KINGMB105_04884_TODO_00","在<Sheet(EObj,2013605,0)/>等待"
25,"TEXT_KINGMB105_04884_TODO_01","前往克扎瑪烏卡濕地"
26,"TEXT_KINGMB105_04884_TODO_02","和烏克·拉瑪特對話"
27,"TEXT_KINGMB105_04884_TODO_03","再次和烏克·拉瑪特對話"
28,"TEXT_KINGMB105_04884_TODO_04","在<Sheet(EObj,2013606,0)/>等待"
29,"TEXT_KINGMB105_04884_TODO_05","再次在<Sheet(EObj,2013606,0)/>等待"
30,"TEXT_KINGMB105_04884_TODO_06","再一次在<Sheet(EObj,2013606,0)/>等待"
31,"TEXT_KINGMB105_04884_TODO_07","和瑞笛洛珂對話"
32,"TEXT_KINGMB105_04884_TODO_08",""
33,"TEXT_KINGMB105_04884_TODO_09",""
34,"TEXT_KINGMB105_04884_TODO_10",""
35,"TEXT_KINGMB105_04884_TODO_11",""
