key,0,1
#,,
int32,str,str
0,"TEXT_KINGMC102_04898_SEQ_00","紅豹村前的烏克·拉瑪特想進入村子。"
1,"TEXT_KINGMC102_04898_SEQ_01","「食之試煉」的內容是將王位候選人分為兩組製作燜烤豬肉。烏克·拉瑪特與柯納抽到了一組。和亞克特爾樹海記星園庭的柯納談談。"
2,"TEXT_KINGMC102_04898_SEQ_02","與柯納進行了交談。眾人分頭在紅豹村收集燜烤豬肉的情報。"
3,"TEXT_KINGMC102_04898_SEQ_03","打聽了燜烤豬肉相關的情報。在記星園庭的<Sheet(EObj,2013647,0)/>等待。"
4,"TEXT_KINGMC102_04898_SEQ_04","從收集到的情報中總結出了燜烤豬肉的烹調方法，開始籌備烹飪所需的食材和工具。冒險者與烏克·拉瑪特、柯納負責尋找香蕉葉。和記星園庭的烏克·拉瑪特談談。"
5,"TEXT_KINGMC102_04898_SEQ_05","烏克·拉瑪特幹勁十足。尋找燜烤豬肉所需的香蕉葉，完成「食之試煉」。"
6,"TEXT_KINGMC102_04898_SEQ_06",""
7,"TEXT_KINGMC102_04898_SEQ_07",""
8,"TEXT_KINGMC102_04898_SEQ_08",""
9,"TEXT_KINGMC102_04898_SEQ_09",""
10,"TEXT_KINGMC102_04898_SEQ_10",""
11,"TEXT_KINGMC102_04898_SEQ_11",""
12,"TEXT_KINGMC102_04898_SEQ_12",""
13,"TEXT_KINGMC102_04898_SEQ_13",""
14,"TEXT_KINGMC102_04898_SEQ_14",""
15,"TEXT_KINGMC102_04898_SEQ_15",""
16,"TEXT_KINGMC102_04898_SEQ_16",""
17,"TEXT_KINGMC102_04898_SEQ_17",""
18,"TEXT_KINGMC102_04898_SEQ_18",""
19,"TEXT_KINGMC102_04898_SEQ_19",""
20,"TEXT_KINGMC102_04898_SEQ_20",""
21,"TEXT_KINGMC102_04898_SEQ_21",""
22,"TEXT_KINGMC102_04898_SEQ_22",""
23,"TEXT_KINGMC102_04898_SEQ_23",""
24,"TEXT_KINGMC102_04898_TODO_00","和柯納對話"
25,"TEXT_KINGMC102_04898_TODO_01","在紅豹村收集情報"
26,"TEXT_KINGMC102_04898_TODO_02","在<Sheet(EObj,2013647,0)/>等待"
27,"TEXT_KINGMC102_04898_TODO_03","和烏克·拉瑪特對話"
