key,0,1
#,,
int32,str,str
0,"TEXT_KINGLZ000_04966_SEQ_00","珠串萬貨街的洛皮利正在尋找實力高超的工匠。"
1,"TEXT_KINGLZ000_04966_SEQ_01","珠串萬貨街的代表洛皮利在聽說了冒險者也是工匠後十分高興。他打算為冒險者介紹各個店舖的經營者，再次和圖萊尤拉珠串萬貨街的洛皮利談談。"
2,"TEXT_KINGLZ000_04966_SEQ_02","和洛皮利進行了交談，在他的介紹下結識了各家店舖的經營者。如果在珠串萬貨街周邊發現有困擾的人，就去打聲招呼伸出援手幫幫他們吧。"
3,"TEXT_KINGLZ000_04966_SEQ_03",""
4,"TEXT_KINGLZ000_04966_SEQ_04",""
5,"TEXT_KINGLZ000_04966_SEQ_05",""
6,"TEXT_KINGLZ000_04966_SEQ_06",""
7,"TEXT_KINGLZ000_04966_SEQ_07",""
8,"TEXT_KINGLZ000_04966_SEQ_08",""
9,"TEXT_KINGLZ000_04966_SEQ_09",""
10,"TEXT_KINGLZ000_04966_SEQ_10",""
11,"TEXT_KINGLZ000_04966_SEQ_11",""
12,"TEXT_KINGLZ000_04966_SEQ_12",""
13,"TEXT_KINGLZ000_04966_SEQ_13",""
14,"TEXT_KINGLZ000_04966_SEQ_14",""
15,"TEXT_KINGLZ000_04966_SEQ_15",""
16,"TEXT_KINGLZ000_04966_SEQ_16",""
17,"TEXT_KINGLZ000_04966_SEQ_17",""
18,"TEXT_KINGLZ000_04966_SEQ_18",""
19,"TEXT_KINGLZ000_04966_SEQ_19",""
20,"TEXT_KINGLZ000_04966_SEQ_20",""
21,"TEXT_KINGLZ000_04966_SEQ_21",""
22,"TEXT_KINGLZ000_04966_SEQ_22",""
23,"TEXT_KINGLZ000_04966_SEQ_23",""
24,"TEXT_KINGLZ000_04966_TODO_00","和洛皮利對話"
25,"TEXT_KINGLZ000_04966_TODO_01",""
26,"TEXT_KINGLZ000_04966_TODO_02",""
27,"TEXT_KINGLZ000_04966_TODO_03",""
28,"TEXT_KINGLZ000_04966_TODO_04",""
29,"TEXT_KINGLZ000_04966_TODO_05",""
30,"TEXT_KINGLZ000_04966_TODO_06",""
31,"TEXT_KINGLZ000_04966_TODO_07",""
32,"TEXT_KINGLZ000_04966_TODO_08",""
33,"TEXT_KINGLZ000_04966_TODO_09",""
