key,0,1
#,,
int32,str,str
0,"TEXT_KINGMD101_04912_SEQ_00","薩卡圖拉爾關門前的艾倫維爾正打算出發。"
1,"TEXT_KINGMD101_04912_SEQ_01","出發前的準備已經萬無一失。和薩卡圖拉爾關門前的勇連隊的守門人談談。"
2,"TEXT_KINGMD101_04912_SEQ_02","將通行證出示給了守門人。越過佐戈永結橋前往夏勞尼荒野。"
3,"TEXT_KINGMD101_04912_SEQ_03","來到了薩卡圖拉爾。和夏勞尼荒野薩卡圖萊尤拉關門附近的艾倫維爾談談。"
4,"TEXT_KINGMD101_04912_SEQ_04","和艾倫維爾進行交談，決定消磨時間等待外借的犎牛準備就緒。再次和胡薩塔伊驛鎮前的艾倫維爾談談。"
5,"TEXT_KINGMD101_04912_SEQ_05","和艾倫維爾一起在胡薩塔伊驛鎮目睹了一場糾紛，並與艾斯蒂尼安重逢。進一步和胡薩塔伊驛鎮的艾倫維爾談談。"
6,"TEXT_KINGMD101_04912_SEQ_06","從艾倫維爾處聽取了夏勞尼荒野的介紹。得知此地有很多肆意妄為的人，也不知道冒險者一行能否順利到達目的地……"
7,"TEXT_KINGMD101_04912_SEQ_07",""
8,"TEXT_KINGMD101_04912_SEQ_08",""
9,"TEXT_KINGMD101_04912_SEQ_09",""
10,"TEXT_KINGMD101_04912_SEQ_10",""
11,"TEXT_KINGMD101_04912_SEQ_11",""
12,"TEXT_KINGMD101_04912_SEQ_12",""
13,"TEXT_KINGMD101_04912_SEQ_13",""
14,"TEXT_KINGMD101_04912_SEQ_14",""
15,"TEXT_KINGMD101_04912_SEQ_15",""
16,"TEXT_KINGMD101_04912_SEQ_16",""
17,"TEXT_KINGMD101_04912_SEQ_17",""
18,"TEXT_KINGMD101_04912_SEQ_18",""
19,"TEXT_KINGMD101_04912_SEQ_19",""
20,"TEXT_KINGMD101_04912_SEQ_20",""
21,"TEXT_KINGMD101_04912_SEQ_21",""
22,"TEXT_KINGMD101_04912_SEQ_22",""
23,"TEXT_KINGMD101_04912_SEQ_23",""
24,"TEXT_KINGMD101_04912_TODO_00","和勇連隊的守門人對話"
25,"TEXT_KINGMD101_04912_TODO_01","和勇連隊的守門人對話"
26,"TEXT_KINGMD101_04912_TODO_02","和圖萊尤拉關門附近的艾倫維爾對話"
