key,0,1
#,,
int32,str,str
0,"TEXT_KINGME109_04940_SEQ_00","舊亞歷山德里亞的歐提斯對冒險者帶來的食材十分滿意。"
1,"TEXT_KINGME109_04940_SEQ_01","歐提斯提出了新的委託。在舊亞歷山德里亞收集5個<Sheet(EventItem,2003578,0)/>。"
2,"TEXT_KINGME109_04940_SEQ_02","收集到了足夠的數量。將<Sheet(EventItem,2003578,0)/>交給舊亞歷山德里亞的古魯加。"
3,"TEXT_KINGME109_04940_SEQ_03","將<Sheet(EventItem,2003578,0)/>交給了古魯加。和舊亞歷山德里亞的歐提斯談談。"
4,"TEXT_KINGME109_04940_SEQ_04","從歐提斯那裡打聽到了永久人的事。和舊亞歷山德里亞的烏克·拉瑪特談談。"
5,"TEXT_KINGME109_04940_SEQ_05","烏克·拉瑪特試圖理解關於永久人的種種事實。在這個國家還有許多冒險者一行不曾了解的事……"
6,"TEXT_KINGME109_04940_SEQ_06",""
7,"TEXT_KINGME109_04940_SEQ_07",""
8,"TEXT_KINGME109_04940_SEQ_08",""
9,"TEXT_KINGME109_04940_SEQ_09",""
10,"TEXT_KINGME109_04940_SEQ_10",""
11,"TEXT_KINGME109_04940_SEQ_11",""
12,"TEXT_KINGME109_04940_SEQ_12",""
13,"TEXT_KINGME109_04940_SEQ_13",""
14,"TEXT_KINGME109_04940_SEQ_14",""
15,"TEXT_KINGME109_04940_SEQ_15",""
16,"TEXT_KINGME109_04940_SEQ_16",""
17,"TEXT_KINGME109_04940_SEQ_17",""
18,"TEXT_KINGME109_04940_SEQ_18",""
19,"TEXT_KINGME109_04940_SEQ_19",""
20,"TEXT_KINGME109_04940_SEQ_20",""
21,"TEXT_KINGME109_04940_SEQ_21",""
22,"TEXT_KINGME109_04940_SEQ_22",""
23,"TEXT_KINGME109_04940_SEQ_23",""
24,"TEXT_KINGME109_04940_TODO_00","獲取<Sheet(EventItem,2003578,0)/>"
25,"TEXT_KINGME109_04940_TODO_01","將<Sheet(EventItem,2003578,0)/>交給古魯加"
26,"TEXT_KINGME109_04940_TODO_02","和歐提斯對話"
27,"TEXT_KINGME109_04940_TODO_03","和烏克·拉瑪特對話"
28,"TEXT_KINGME109_04940_TODO_04",""
29,"TEXT_KINGME109_04940_TODO_05",""
30,"TEXT_KINGME109_04940_TODO_06",""
