key,0,1
#,,
int32,str,str
0,"TEXT_KINGZC007_05066_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
繁茂溫風大房的圖努哈利有事情想讓冒險者體驗一下。"
1,"TEXT_KINGZC007_05066_SEQ_01",""
2,"TEXT_KINGZC007_05066_SEQ_02",""
3,"TEXT_KINGZC007_05066_SEQ_03",""
4,"TEXT_KINGZC007_05066_SEQ_04",""
5,"TEXT_KINGZC007_05066_SEQ_05",""
6,"TEXT_KINGZC007_05066_SEQ_06",""
7,"TEXT_KINGZC007_05066_SEQ_07",""
8,"TEXT_KINGZC007_05066_SEQ_08",""
9,"TEXT_KINGZC007_05066_SEQ_09",""
10,"TEXT_KINGZC007_05066_SEQ_10",""
11,"TEXT_KINGZC007_05066_SEQ_11",""
12,"TEXT_KINGZC007_05066_SEQ_12",""
13,"TEXT_KINGZC007_05066_SEQ_13",""
14,"TEXT_KINGZC007_05066_SEQ_14",""
15,"TEXT_KINGZC007_05066_SEQ_15",""
16,"TEXT_KINGZC007_05066_SEQ_16",""
17,"TEXT_KINGZC007_05066_SEQ_17",""
18,"TEXT_KINGZC007_05066_SEQ_18",""
19,"TEXT_KINGZC007_05066_SEQ_19",""
20,"TEXT_KINGZC007_05066_SEQ_20",""
21,"TEXT_KINGZC007_05066_SEQ_21",""
22,"TEXT_KINGZC007_05066_SEQ_22",""
23,"TEXT_KINGZC007_05066_SEQ_23",""
24,"TEXT_KINGZC007_05066_TODO_00","和古努哈努對話"
25,"TEXT_KINGZC007_05066_TODO_01","在繁茂溫風大房的標記處使用情感動作「祈禱」"
26,"TEXT_KINGZC007_05066_TODO_02","前往繁茂溫風大房頂部的標記處"
27,"TEXT_KINGZC007_05066_TODO_03","朝著標記的方向跳下"
28,"TEXT_KINGZC007_05066_TODO_04","和圖努哈利對話"
29,"TEXT_KINGZC007_05066_TODO_05",""
30,"TEXT_KINGZC007_05066_TODO_06",""
31,"TEXT_KINGZC007_05066_TODO_07",""
32,"TEXT_KINGZC007_05066_TODO_08",""
33,"TEXT_KINGZC007_05066_TODO_09",""
34,"TEXT_KINGZC007_05066_TODO_10",""
35,"TEXT_KINGZC007_05066_TODO_11",""
