key,0,1
#,,
int32,str,str
0,"TEXT_KINGBZ001_05188_SEQ_00","貝殼亭的拉爾·瑪玖恩想委託冒險者新工作。"
1,"TEXT_KINGBZ001_05188_SEQ_01","已和拉爾·瑪玖恩交談，冒險者決定潛入自由之門。在烏爾達哈的來生回廊收集關於幹部選拔的情報。"
2,"TEXT_KINGBZ001_05188_SEQ_02","已和烏爾達哈的市民交談，得知有可疑人士。前往烏爾達哈的市場佈告欄，在標記處做情感動作「不滿」。"
3,"TEXT_KINGBZ001_05188_SEQ_03","可疑的男人邀請冒險者參加自由之門的第二期幹部選拔。將<Sheet(EventItem,2003706,0)/>交給烏爾達哈黃金廣場的自由之門的成員。"
4,"TEXT_KINGBZ001_05188_SEQ_04","冒險者已表達參加選拔的意願。在自由之門的成員的帶領之下進入臨時選拔會場。"
5,"TEXT_KINGBZ001_05188_SEQ_05","參加選拔並通過了第一次審查。和黃金廣場的自由之門的成員交談。"
6,"TEXT_KINGBZ001_05188_SEQ_06","看來選拔還沒結束。向自由之門的成員打聽一下後續的審查內容吧。"
7,"TEXT_KINGBZ001_05188_SEQ_07",""
8,"TEXT_KINGBZ001_05188_SEQ_08",""
9,"TEXT_KINGBZ001_05188_SEQ_09",""
10,"TEXT_KINGBZ001_05188_SEQ_10",""
11,"TEXT_KINGBZ001_05188_SEQ_11",""
12,"TEXT_KINGBZ001_05188_SEQ_12",""
13,"TEXT_KINGBZ001_05188_SEQ_13",""
14,"TEXT_KINGBZ001_05188_SEQ_14",""
15,"TEXT_KINGBZ001_05188_SEQ_15",""
16,"TEXT_KINGBZ001_05188_SEQ_16",""
17,"TEXT_KINGBZ001_05188_SEQ_17",""
18,"TEXT_KINGBZ001_05188_SEQ_18",""
19,"TEXT_KINGBZ001_05188_SEQ_19",""
20,"TEXT_KINGBZ001_05188_SEQ_20",""
21,"TEXT_KINGBZ001_05188_SEQ_21",""
22,"TEXT_KINGBZ001_05188_SEQ_22",""
23,"TEXT_KINGBZ001_05188_SEQ_23",""
24,"TEXT_KINGBZ001_05188_TODO_00","在烏爾達哈收集情報"
25,"TEXT_KINGBZ001_05188_TODO_01","在市場佈告板的標記處做「不滿」的情感動作"
26,"TEXT_KINGBZ001_05188_TODO_02","將<Sheet(EventItem,2003706,0)/>交給自由之門的成員"
