key,0,1
#,,
int32,str,str
0,"TEXT_KINGZF001_05149_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊規則： 等級調整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
邊郊鎮的瓦瓦賽想要介紹自己的工作。"
1,"TEXT_KINGZF001_05149_SEQ_01",""
2,"TEXT_KINGZF001_05149_SEQ_02",""
3,"TEXT_KINGZF001_05149_SEQ_03",""
4,"TEXT_KINGZF001_05149_SEQ_04",""
5,"TEXT_KINGZF001_05149_SEQ_05",""
6,"TEXT_KINGZF001_05149_SEQ_06",""
7,"TEXT_KINGZF001_05149_SEQ_07",""
8,"TEXT_KINGZF001_05149_SEQ_08",""
9,"TEXT_KINGZF001_05149_SEQ_09",""
10,"TEXT_KINGZF001_05149_SEQ_10",""
11,"TEXT_KINGZF001_05149_SEQ_11",""
12,"TEXT_KINGZF001_05149_SEQ_12",""
13,"TEXT_KINGZF001_05149_SEQ_13",""
14,"TEXT_KINGZF001_05149_SEQ_14",""
15,"TEXT_KINGZF001_05149_SEQ_15",""
16,"TEXT_KINGZF001_05149_SEQ_16",""
17,"TEXT_KINGZF001_05149_SEQ_17",""
18,"TEXT_KINGZF001_05149_SEQ_18",""
19,"TEXT_KINGZF001_05149_SEQ_19",""
20,"TEXT_KINGZF001_05149_SEQ_20",""
21,"TEXT_KINGZF001_05149_SEQ_21",""
22,"TEXT_KINGZF001_05149_SEQ_22",""
23,"TEXT_KINGZF001_05149_SEQ_23",""
24,"TEXT_KINGZF001_05149_TODO_00","在<Sheet(EObj,2014078,0)/>使用<Sheet(EventItem,2003594,0)/>"
25,"TEXT_KINGZF001_05149_TODO_01","和瓦瓦賽對話"
26,"TEXT_KINGZF001_05149_TODO_02",""
27,"TEXT_KINGZF001_05149_TODO_03",""
28,"TEXT_KINGZF001_05149_TODO_04",""
29,"TEXT_KINGZF001_05149_TODO_05",""
30,"TEXT_KINGZF001_05149_TODO_06",""
31,"TEXT_KINGZF001_05149_TODO_07",""
32,"TEXT_KINGZF001_05149_TODO_08",""
33,"TEXT_KINGZF001_05149_TODO_09",""
34,"TEXT_KINGZF001_05149_TODO_10",""
35,"TEXT_KINGZF001_05149_TODO_11",""
36,"TEXT_KINGZF001_05149_TODO_12",""
37,"TEXT_KINGZF001_05149_TODO_13",""
38,"TEXT_KINGZF001_05149_TODO_14",""
39,"TEXT_KINGZF001_05149_TODO_15",""
40,"TEXT_KINGZF001_05149_TODO_16",""
41,"TEXT_KINGZF001_05149_TODO_17",""
42,"TEXT_KINGZF001_05149_TODO_18",""
43,"TEXT_KINGZF001_05149_TODO_19",""
44,"TEXT_KINGZF001_05149_TODO_20",""
45,"TEXT_KINGZF001_05149_TODO_21",""
46,"TEXT_KINGZF001_05149_TODO_22",""
47,"TEXT_KINGZF001_05149_TODO_23",""
48,"TEXT_KINGZF001_05149_UAAUASHE_000_000","我記得你跟斯菲茵大人一起去參觀過農田吧！
如果你對其他工作也感興趣的話，
要不要稍微幫我個忙？"
49,"TEXT_KINGZF001_05149_UAAUASHE_000_001","我被安排負責清掃工作……
我想把其中的噴灑驅蟲藥劑的部分交給你來做。"
50,"TEXT_KINGZF001_05149_UAAUASHE_000_002","我已經在邊郊鎮的3個地方做了標記，
等你到了地方就請使用這個<Sheet(EventItem,2003594,0)/>吧。
完成之後就請回到這裡，我會一直等著你！"
51,"TEXT_KINGZF001_05149_UAAUASHE_000_003","我已經在邊郊鎮的3個地方做了標記，
等你到了地方就請使用這個<Sheet(EventItem,2003594,0)/>吧。
完成之後就請回到這裡，我會一直等著你！"
52,"TEXT_KINGZF001_05149_UAAUASHE_000_005","你回來啦，感謝你的幫助！
這下就可以把蟑蟲驅除乾淨了。"
53,"TEXT_KINGZF001_05149_UAAUASHE_000_006","我們清潔人員的主要任務就在於清掃。
將垃圾和廢棄物進行分類處理，清掃道路，
維護這一帶的乾淨整潔。"
54,"TEXT_KINGZF001_05149_UAAUASHE_000_007","不同於都是人工垃圾的塔裡，
遺產之地有好多蟲子……
一不小心就會變得到處都是蟲子。"
55,"TEXT_KINGZF001_05149_UAAUASHE_000_008","這其中又數蟑蟲最讓人頭疼！
因為容易引發疾病，所以從衛生角度考慮不能放置不管，
但是它們的環境適應能力很強，能不斷進化，因此很麻煩。"
56,"TEXT_KINGZF001_05149_UAAUASHE_000_009","哎呀，雖然我個人覺得它們其實也挺可愛的，
但身為清潔人員，說這樣的話還是不太合適。"
57,"TEXT_KINGZF001_05149_UAAUASHE_000_010","雖然它們的繁殖能力強，無法從根本上杜絕，
不過在你的幫助下，害蟲的危害暫時減輕了。
這是給你準備的謝禮，請收下！"
58,"TEXT_KINGZF001_05149_CLEANERS05149_000_000",""
59,"TEXT_KINGZF001_05149_CLEANERS05149_000_001",""
60,"TEXT_KINGZF001_05149_CLEANERS05149_000_002",""
61,"TEXT_KINGZF001_05149_CLEANERS05149_000_003",""
62,"TEXT_KINGZF001_05149_CLEANERS05149_000_005",""
63,"TEXT_KINGZF001_05149_CLEANERS05149_000_006",""
64,"TEXT_KINGZF001_05149_CLEANERS05149_000_007",""
65,"TEXT_KINGZF001_05149_CLEANERS05149_000_008",""
66,"TEXT_KINGZF001_05149_CLEANERS05149_000_009",""
67,"TEXT_KINGZF001_05149_CLEANERS05149_000_010",""
68,"TEXT_KINGZF001_05149_SYSTEM_000_004",""
