key,0,1
#,,
int32,str,str
0,"TEXT_FESNYX202_05230_SEQ_00","※本任務是特定期間內的任務。

艦尾樓的馬奉行想要開始駿馬巡遊。"
1,"TEXT_FESNYX202_05230_SEQ_01","※本任務只有在季節活動開放期間才能承接和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參見官方網站。

據馬奉行所說，駿馬巡遊的準備工作似乎已經告一段落了。和中拉諾西亞和風陸門附近的馬與力交談。"
2,"TEXT_FESNYX202_05230_SEQ_02","決定和午馬獨角幼獸一同在駿馬巡遊活動中奔跑了。在中拉諾西亞和風陸門附近和午馬獨角幼獸打聲招呼，跟隨牠一同奔跑。

※帶路狀態被解除時，再次與午馬獨角幼獸對話便可進入帶路狀態。"
3,"TEXT_FESNYX202_05230_SEQ_03","跟隨午馬獨角幼獸一同跑向了人群。和牠打聲招呼，繼續跟隨牠一同奔跑。

※帶路狀態被解除時，再次與午馬獨角幼獸對話便可進入帶路狀態。"
4,"TEXT_FESNYX202_05230_SEQ_04","午馬獨角幼獸還想繼續奔跑。和牠打聲招呼，再繼續跟隨牠一同奔跑。

※帶路狀態被解除時，再次與午馬獨角幼獸對話便可進入帶路狀態。"
5,"TEXT_FESNYX202_05230_SEQ_05","已和馬與力交談，他為駿馬巡遊的成功舉辦而感到高興。和利姆薩·羅敏薩艦尾樓的馬奉行交談。"
6,"TEXT_FESNYX202_05230_SEQ_06","駿馬巡遊活動成功讓更多人看到了馬兒們的魅力。午馬獨角幼獸和冒險者也變得親近了起來，在今後的旅途中和牠一同盡情奔跑吧。"
7,"TEXT_FESNYX202_05230_SEQ_07",""
8,"TEXT_FESNYX202_05230_SEQ_08",""
9,"TEXT_FESNYX202_05230_SEQ_09",""
10,"TEXT_FESNYX202_05230_SEQ_10",""
11,"TEXT_FESNYX202_05230_SEQ_11",""
12,"TEXT_FESNYX202_05230_SEQ_12",""
13,"TEXT_FESNYX202_05230_SEQ_13",""
14,"TEXT_FESNYX202_05230_SEQ_14",""
15,"TEXT_FESNYX202_05230_SEQ_15",""
16,"TEXT_FESNYX202_05230_SEQ_16",""
17,"TEXT_FESNYX202_05230_SEQ_17",""
18,"TEXT_FESNYX202_05230_SEQ_18",""
19,"TEXT_FESNYX202_05230_SEQ_19",""
