key,0,1
#,,
int32,str,str
0,"TEXT_KINGMH103_05301_SEQ_00","馬賽克咖啡的斯菲茵一副心懷歉意的樣子。"
1,"TEXT_KINGMH103_05301_SEQ_01",""
2,"TEXT_KINGMH103_05301_SEQ_02",""
3,"TEXT_KINGMH103_05301_SEQ_03",""
4,"TEXT_KINGMH103_05301_SEQ_04",""
5,"TEXT_KINGMH103_05301_SEQ_05",""
6,"TEXT_KINGMH103_05301_SEQ_06",""
7,"TEXT_KINGMH103_05301_SEQ_07",""
8,"TEXT_KINGMH103_05301_SEQ_08",""
9,"TEXT_KINGMH103_05301_SEQ_09",""
10,"TEXT_KINGMH103_05301_SEQ_10",""
11,"TEXT_KINGMH103_05301_SEQ_11",""
12,"TEXT_KINGMH103_05301_SEQ_12",""
13,"TEXT_KINGMH103_05301_SEQ_13",""
14,"TEXT_KINGMH103_05301_SEQ_14",""
15,"TEXT_KINGMH103_05301_SEQ_15",""
16,"TEXT_KINGMH103_05301_SEQ_16",""
17,"TEXT_KINGMH103_05301_SEQ_17",""
18,"TEXT_KINGMH103_05301_SEQ_18",""
19,"TEXT_KINGMH103_05301_SEQ_19",""
20,"TEXT_KINGMH103_05301_SEQ_20",""
21,"TEXT_KINGMH103_05301_SEQ_21",""
22,"TEXT_KINGMH103_05301_SEQ_22",""
23,"TEXT_KINGMH103_05301_SEQ_23",""
24,"TEXT_KINGMH103_05301_TODO_00","和古魯加對話"
25,"TEXT_KINGMH103_05301_TODO_01","對身體不適的市民做「鼓勵」的情感動作"
26,"TEXT_KINGMH103_05301_TODO_02","和斯菲茵對話進入同行狀態"
27,"TEXT_KINGMH103_05301_TODO_03","帶著斯菲茵與古魯加
將<Sheet(EventItem,2003739,0)/>交給遺屬"
28,"TEXT_KINGMH103_05301_TODO_04","帶著斯菲茵與古魯加
將<Sheet(EventItem,2003739,0)/>交給開朗的遺屬"
29,"TEXT_KINGMH103_05301_TODO_05",""
30,"TEXT_KINGMH103_05301_TODO_06",""
31,"TEXT_KINGMH103_05301_TODO_07",""
32,"TEXT_KINGMH103_05301_TODO_08",""
33,"TEXT_KINGMH103_05301_TODO_09",""
34,"TEXT_KINGMH103_05301_TODO_10",""
35,"TEXT_KINGMH103_05301_TODO_11",""
36,"TEXT_KINGMH103_05301_TODO_12",""
